EnsemblID	GeneName	baseMean	log2FoldChange	FC	lfcSE	stat	pvalue	padj
ENSMUSG00000000001.4	Gnai3	1766.19265297454	0.256936501030263	1.19493860951382	0.147951096327513	1.73663127484703	0.08245227551522	0.412997632305998
ENSMUSG00000000028.15	Cdc45	1340.94695725099	-0.0394746114109213	-1.02773948494552	0.189472065470061	-0.208340006813082	0.83496349600397	0.954866201168088
ENSMUSG00000000031.16	H19	174.785661873939	1.50263958185615	2.83360680494088	0.528365510678357	2.84393956737816	0.00445594985410082	0.0814084564031067
ENSMUSG00000000037.17	Scml2	439.340481043379	1.28675310208735	2.43978344858983	0.412645257235976	3.11830338413778	0.00181895460101892	0.0468341540448878
ENSMUSG00000000056.7	Narf	167.19848399282	0.528590041020713	1.44251871974033	0.307572778113271	1.71858525407618	0.0856899186034806	0.418703804175906
ENSMUSG00000000078.7	Klf6	2217.32449729768	1.04462903147224	2.06283586147373	0.164981540300295	6.33179342107509	2.42327796935439e-10	1.20420759890451e-07
ENSMUSG00000000085.16	Scmh1	1548.17333372162	0.327383614642669	1.25473579618264	0.219877156315094	1.48893873346949	0.136503502712225	0.510663542894315
ENSMUSG00000000088.7	Cox5a	557.529152428662	0.0307084221449435	1.02151360744481	0.183009736087897	0.167796658261911	0.866743251546559	0.96323477738657
ENSMUSG00000000094.12	Tbx4	33.7942336928873	0.325354022365132	1.25297186717332	0.716342519201956	0.45418778537339	0.649693673764042	0.885419980964581
ENSMUSG00000000120.6	Ngfr	636.475605388694	-0.518855642985162	-1.43281827446098	0.186582446333452	-2.78083846139462	0.00542187086948553	0.0919656272369115
ENSMUSG00000000125.5	Wnt3	185.644728340011	1.46619005652138	2.76291285055641	1.12086066080489	1.30809306436762	0.190841745603569	0.584323011595399
ENSMUSG00000000126.11	Wnt9a	87.07344804586	1.61795846697393	3.069403827198	0.493750663225538	3.2768735061625	0.00104963381989032	0.0316759939006577
ENSMUSG00000000127.15	Fer	2374.26387577329	0.0442868333946465	1.03117331398298	0.242854939994441	0.182359203381493	0.855300839913632	0.961046672418542
ENSMUSG00000000131.15	Xpo6	6113.86651210109	-0.0197672554418763	-1.01379591471949	0.206706026281382	-0.0956297975317267	0.923814598641014	0.977544085880847
ENSMUSG00000000134.17	Tfe3	2027.32120301397	-0.217067767112475	-1.16236870569624	0.134819267175016	-1.61006487915921	0.107383693297094	0.461260605461281
ENSMUSG00000000142.15	Axin2	346.277453289424	1.26347688444506	2.40073619961593	0.32309232240494	3.91057538922732	9.20765149162319e-05	0.00540423891484718
ENSMUSG00000000148.17	Brat1	333.719564128511	0.285998105745203	1.21925349319862	0.22192961327644	1.28868834367299	0.197506456445226	0.590494372138576
ENSMUSG00000000149.10	Gna12	1197.30925955487	0.40934732376846	1.32808485166596	0.267464884664436	1.53047127768578	0.125900117696811	0.492888380941192
ENSMUSG00000000154.16	Slc22a18	119.927340445191	-1.17031028074817	-2.25060095458578	0.318124010334263	-3.67878639376665	0.000234346435939194	0.0109855267166216
ENSMUSG00000000167.14	Pih1d2	64.3288153913754	-0.654200616289306	-1.57374371496666	0.398496016923991	-1.64167416612871	0.100657548256655	0.447807439394276
ENSMUSG00000000168.9	Dlat	1010.09476200468	0.13689347385328	1.09953495852688	0.148068202189161	0.924529857385549	0.355210513664221	0.723426002418881
ENSMUSG00000000171.5	Sdhd	663.560158884304	0.0371782974482778	1.026104950091	0.189134176622225	0.196571017001001	0.844163253143167	0.958002220167814
ENSMUSG00000000184.12	Ccnd2	240.92621310737	-0.73216694707502	-1.66113226144889	0.362399632037303	-2.02033027174723	0.0433491408128417	0.301281580996664
ENSMUSG00000000194.13	Gpr107	3047.11468666411	-0.243870804544564	-1.1841655633435	0.139618339035733	-1.74669607322967	0.0806900718990269	0.408880894585552
ENSMUSG00000000197.8	Nalcn	511.239496126945	-0.258806307710419	-1.19648831519877	0.259573456991183	-0.997044577324444	0.318742872890869	0.695714733954693
ENSMUSG00000000223.13	Drp2	118.807002901432	-0.325527860418527	-1.25312285356164	0.473879063091597	-0.68694290542143	0.492118708054375	0.811914999260524
